Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
Main_body,"-0,0874539195672514","-0,0122269199902348","-0,00784246828234295",0,0,0,"0,453793564265182","0,000259863321416217","2,31428598746657E-07","4,09156459945878E-05","0,000429890392435455","8,05074980481899E-07","0,000377152036248999",0,0,0,0,0,0,package://irys_6_urdf/meshes/Main_body.STL,"0,752941176470588","0,752941176470588","0,752941176470588",1,0,0,0,0,0,0,package://irys_6_urdf/meshes/Main_body.STL,,Main_body^irys_6-1,Origin_global,,,,0,0,0,0,0,0,,0,0,0,,,,,,,,,,,,
Wheel_right,"-0,011528943198384","2,80391338127427E-06","0,00369096576643183",0,0,0,"0,0537149612564686","8,57127093914998E-05","-9,69598740401909E-09","-1,27788454440152E-05","4,57874409692143E-05","3,09718997540969E-09","4,98774458899122E-05",0,0,0,0,0,0,package://irys_6_urdf/meshes/Wheel_right.STL,"0,752941176470588","0,752941176470588","0,752941176470588",1,0,0,0,0,0,0,package://irys_6_urdf/meshes/Wheel_right.STL,,Wheel_right^irys_6-1,Origin_Wheel_right,Axis_Wheel_right,Wheel_right,continuous,"-0,15013","0,013421","-0,011824","1,5708",0,0,Main_body,"0,95241","-0,00023119","-0,30483",,,,,,,,,,,,
Wheel_left,"-0,00958630182987512","2,31271003369934E-06","0,00306918750080176",0,0,0,"0,0537149466294839","8,57127941638458E-05","-9,69243811557028E-09","-1,27787017005565E-05","4,57874356286686E-05","3,10972716040227E-09","4,98773321884887E-05",0,0,0,0,0,0,package://irys_6_urdf/meshes/Wheel_left.STL,"0,752941176470588","0,752941176470588","0,752941176470588",1,0,0,0,0,0,0,package://irys_6_urdf/meshes/Wheel_left.STL,,Wheel_left^irys_6-1,Origin_Wheel_left,Axis_Wheel_left,Wheel_left,continuous,"-0,017849","0,055759","-0,011856","1,5708",0,0,Main_body,"0,95241","-0,00023119","-0,30483",,,,,,,,,,,,
Grabber_right,"-0,021764640769758","-0,0117677988714972","0,0143878159478144",0,0,0,"0,0105279812266397","3,27694469938928E-06","-6,62143034378257E-07","2,31385963602831E-06","5,492706217497E-06","4,26763734604977E-07","3,82909401272448E-06",0,0,0,0,0,0,package://irys_6_urdf/meshes/Grabber_right.STL,"0,752941176470588","0,752941176470588","0,752941176470588",1,0,0,0,0,0,0,package://irys_6_urdf/meshes/Grabber_right.STL,,Right_grabber^irys_6-1,Origin_Grabber_right,Axis_Grabber_right,Grabber_right,revolute,"-0,072745","-0,077102","-0,029785","1,5709","-0,00030448","-0,41312",Main_body,0,1,"-0,00075842",0,0,0,"1,57",,,,,,,,
Grabber_left,"0,025333969932915","-0,0153203978173541","-0,00205793541869451",0,0,0,"0,0108042920100823","1,24612247933652E-06","7,86310473338874E-07","-2,82289098494667E-07","5,50259383156628E-06","-7,28301341303389E-08","5,87166945710156E-06",0,0,0,0,0,0,package://irys_6_urdf/meshes/Grabber_left.STL,"0,752941176470588","0,752941176470588","0,752941176470588",1,0,0,0,0,0,0,package://irys_6_urdf/meshes/Grabber_left.STL,,Left_grabber^irys_6-1,Origin_Grabber_left,Axis_Grabber_left,Grabber_left,revolute,"-0,049412","-0,069631","-0,025865","1,5708","0,00027235","0,3673",Main_body,0,1,"-0,00075842",0,0,"-1,57",0,,,,,,,,
