"Symbol";"Value";"Unit";
"TraceParts.PartNumber";"10-21092016-091377";"";
"REFERENCE";"608";"";
"TraceParts.PartVersion";"1.3.4";"";
"TraceParts.InstanceId";"10-21092016-091377TSID1XL8KYD9R2HW5C39DQF5";"";
"TraceParts.PartTitle";"Deep groove ball bearings, single row";"";
"SUPPLIER";"SKF";"";
"DESIGN";"Single row deep groove ball bearing, Bore Ø 8 mm, Outside Ø 22 mm";"";
"TRACEPARTS";"TRACEPARTS";"";
"TraceParts.PartLanguage";"en";"";
"MASS";"0.0115";"";
